stage,camera_model,camera_short,route,fps,resolution,complete,frame,psnr_masked,ssim_masked,lpips_masked
sts,SIMPLE_RADIAL,SR,A,2,qhd,True,matrix_repeat_20260812:00058.jpg,15.711735862681017,0.39967814087867737,0.26438188552856445
sts,SIMPLE_RADIAL,SR,A,2,qhd,True,matrix_repeat_20260812:00066.jpg,23.33485032339602,0.8538500070571899,0.07491138577461243
sts,SIMPLE_RADIAL,SR,A,2,qhd,True,matrix_repeat_20260812:00074.jpg,28.075849659838944,0.8877080678939819,0.03423604741692543
sts,SIMPLE_RADIAL,SR,A,2,qhd,True,matrix_repeat_20260812:00082.jpg,29.726898600788147,0.8828299641609192,0.05589107424020767
sts,SIMPLE_RADIAL,SR,A,2,qhd,True,matrix_repeat_20260812:00090.jpg,27.77140346737432,0.8322381973266602,0.21095281839370728
sts,SIMPLE_RADIAL,SR,A,2,qhd,True,matrix_repeat_20260812:00000.jpg,28.22048834634888,0.9151654243469238,0.1459890902042389
sts,SIMPLE_RADIAL,SR,A,2,qhd,True,matrix_repeat_20260812:00008.jpg,25.139141408214968,0.8966258764266968,0.029867084696888924
sts,SIMPLE_RADIAL,SR,A,2,qhd,True,matrix_repeat_20260812:00016.jpg,23.40858169130498,0.8427486419677734,0.03438752889633179
sts,SIMPLE_RADIAL,SR,A,2,qhd,True,matrix_repeat_20260812:00024.jpg,31.32444526865816,0.8770045638084412,0.12545335292816162
sts,SIMPLE_RADIAL,SR,A,2,qhd,True,matrix_repeat_20260812:00032.jpg,29.987918462895117,0.8811364769935608,0.03635484725236893
sts,SIMPLE_RADIAL,SR,A,2,qhd,True,matrix_repeat_20260812:00040.jpg,32.25529056210573,0.9329992532730103,0.04018598422408104
sts,SIMPLE_RADIAL,SR,A,2,qhd,True,matrix_repeat_20260812:00048.jpg,31.44866134578924,0.9142979383468628,0.14013749361038208
sts,SIMPLE_RADIAL,SR,A,2,qhd,True,matrix_repeat_20260812:00058.jpg,15.795361180089449,0.4015839993953705,0.255476176738739
sts,SIMPLE_RADIAL,SR,A,2,qhd,True,matrix_repeat_20260812:00066.jpg,23.242876023889725,0.8594339489936829,0.07300163805484772
sts,SIMPLE_RADIAL,SR,A,2,qhd,True,matrix_repeat_20260812:00074.jpg,28.226272855323117,0.8877346515655518,0.033497393131256104
sts,SIMPLE_RADIAL,SR,A,2,qhd,True,matrix_repeat_20260812:00082.jpg,29.63234220218098,0.8738476634025574,0.056596964597702026
sts,SIMPLE_RADIAL,SR,A,2,qhd,True,matrix_repeat_20260812:00090.jpg,27.29001014978198,0.8252464532852173,0.1995231658220291
sts,SIMPLE_RADIAL,SR,A,2,low,True,matrix_repeat_20260812:00000.jpg,28.147597092546597,0.9449552893638611,0.12358961999416351
sts,SIMPLE_RADIAL,SR,A,2,low,True,matrix_repeat_20260812:00008.jpg,24.762930060171534,0.9229913353919983,0.05836440622806549
sts,SIMPLE_RADIAL,SR,A,2,low,True,matrix_repeat_20260812:00016.jpg,23.920621690638868,0.866877019405365,0.03527934476733208
sts,SIMPLE_RADIAL,SR,A,2,low,True,matrix_repeat_20260812:00024.jpg,31.599931882512813,0.8881335258483887,0.11283732950687408
