stage,camera_model,camera_short,route,fps,resolution,complete,frame,psnr_masked,ssim_masked,lpips_masked
sts,SIMPLE_RADIAL,SR,A,2,720p,True,00000.jpg,22.26344035006221,0.7884643077850342,0.22533538937568665
sts,SIMPLE_RADIAL,SR,A,2,720p,True,00008.jpg,25.676339263026073,0.8832821249961853,0.09148253500461578
sts,SIMPLE_RADIAL,SR,A,2,720p,True,00016.jpg,19.92226626362228,0.8024027943611145,0.040195658802986145
sts,SIMPLE_RADIAL,SR,A,2,720p,True,00024.jpg,31.503441450980304,0.8640928268432617,0.1488645374774933
sts,SIMPLE_RADIAL,SR,A,2,720p,True,00032.jpg,28.777396452564634,0.8723797798156738,0.04692203551530838
sts,SIMPLE_RADIAL,SR,A,2,720p,True,00040.jpg,30.435940748744077,0.9082179069519043,0.04366765171289444
sts,SIMPLE_RADIAL,SR,A,2,720p,True,00048.jpg,29.40678553645762,0.8787108659744263,0.1741420179605484
sts,SIMPLE_RADIAL,SR,A,2,720p,True,00056.jpg,22.22533038237207,0.7202003598213196,0.24336786568164825
sts,SIMPLE_RADIAL,SR,A,2,720p,True,00064.jpg,22.36202081099885,0.7884196043014526,0.0859377384185791
sts,SIMPLE_RADIAL,SR,A,2,720p,True,00072.jpg,28.897879820351307,0.8514114618301392,0.08205626159906387
sts,SIMPLE_RADIAL,SR,A,2,720p,True,00080.jpg,26.31551472039896,0.8374265432357788,0.09889907389879227
sts,SIMPLE_RADIAL,SR,A,2,720p,True,00088.jpg,29.430362756861893,0.8550664186477661,0.1865113079547882
sts,SIMPLE_RADIAL,SR,A,2,qhd,True,00000.jpg,27.034300768567313,0.9126831889152527,0.15547499060630798
sts,SIMPLE_RADIAL,SR,A,2,qhd,True,00008.jpg,25.514531613306186,0.8987264633178711,0.028128309175372124
sts,SIMPLE_RADIAL,SR,A,2,qhd,True,00016.jpg,23.945719798735766,0.8510242700576782,0.03340951353311539
sts,SIMPLE_RADIAL,SR,A,2,qhd,True,00024.jpg,31.664045115551662,0.8791849613189697,0.12324627488851547
sts,SIMPLE_RADIAL,SR,A,2,qhd,True,00032.jpg,30.188193929119016,0.8828054070472717,0.03515782952308655
sts,SIMPLE_RADIAL,SR,A,2,qhd,True,00040.jpg,32.1369557094268,0.9294106960296631,0.04033315181732178
sts,SIMPLE_RADIAL,SR,A,2,qhd,True,00048.jpg,31.32284475345161,0.9148639440536499,0.1410841941833496
sts,SIMPLE_RADIAL,SR,A,2,qhd,True,00058.jpg,15.711735862681017,0.39967814087867737,0.26438188552856445
sts,SIMPLE_RADIAL,SR,A,2,qhd,True,00066.jpg,23.33485032339602,0.8538500070571899,0.07491138577461243
sts,SIMPLE_RADIAL,SR,A,2,qhd,True,00074.jpg,28.075849659838944,0.8877080678939819,0.03423604741692543
sts,SIMPLE_RADIAL,SR,A,2,qhd,True,00082.jpg,29.726898600788147,0.8828299641609192,0.05589107424020767
sts,SIMPLE_RADIAL,SR,A,2,qhd,True,00090.jpg,27.77140346737432,0.8322381973266602,0.21095281839370728
sts,SIMPLE_RADIAL,SR,A,2,low,True,00000.jpg,28.147597092546597,0.9449552893638611,0.12358961999416351
sts,SIMPLE_RADIAL,SR,A,2,low,True,00008.jpg,24.762930060171534,0.9229913353919983,0.05836440622806549
sts,SIMPLE_RADIAL,SR,A,2,low,True,00016.jpg,23.920621690638868,0.866877019405365,0.03527934476733208
sts,SIMPLE_RADIAL,SR,A,2,low,True,00024.jpg,31.599931882512813,0.8881335258483887,0.11283732950687408
sts,SIMPLE_RADIAL,SR,A,2,low,True,00032.jpg,29.975413137641823,0.8915010094642639,0.02577093243598938
sts,SIMPLE_RADIAL,SR,A,2,low,True,00040.jpg,32.87438809266072,0.9505260586738586,0.031135786324739456
sts,SIMPLE_RADIAL,SR,A,2,low,True,00048.jpg,31.759271438062967,0.947992205619812,0.11497288942337036
sts,SIMPLE_RADIAL,SR,A,2,low,True,00058.jpg,17.646052686064028,0.46447524428367615,0.22873042523860931
sts,SIMPLE_RADIAL,SR,A,2,low,True,00066.jpg,23.500431986149746,0.8926121592521667,0.03659079968929291
