stage,camera_model,camera_short,fps,resolution,psnr_masked,ssim_masked,lpips_masked
sugar_coarse,SIMPLE_RADIAL,SR,2,720p,21.644277901556226,0.7528213461240133,0.1544654875372847
sugar_coarse,SIMPLE_RADIAL,SR,2,qhd,21.788404962546945,0.7446682552496592,0.1287783607840538
sugar_coarse,SIMPLE_RADIAL,SR,2,low,21.973352411262898,0.7340917885303497,0.1261906490350763
sugar_coarse,SIMPLE_RADIAL,SR,5,720p,21.22287166043699,0.7782944778601328,0.15125681372980276
sugar_coarse,SIMPLE_RADIAL,SR,5,qhd,21.38360296073198,0.7685613056023916,0.15200617151955764
sugar_coarse,SIMPLE_RADIAL,SR,5,low,21.775017911378754,0.7694799860318502,0.12447236006458601
sugar_coarse,OPENCV,OPENCV,2,720p,21.637453540222257,0.742789700627327,0.15680036693811417
sugar_coarse,OPENCV,OPENCV,2,qhd,21.88344587731854,0.7450389911731085,0.12855164675662914
sugar_coarse,OPENCV,OPENCV,2,low,21.760464656409667,0.7215790947278341,0.12652283006658158
sugar_coarse,OPENCV,OPENCV,5,720p,21.12845479981886,0.778700852394104,0.1515080933769544
sugar_coarse,OPENCV,OPENCV,5,qhd,21.308100006001826,0.7622498412926991,0.15912115114430586
sugar_coarse,OPENCV,OPENCV,5,low,21.912480759296233,0.7721728146076202,0.1263200009862582
