batch,source,experiment,fps,resolution,variant,camera_model,mesh_mode,model_stage,status,runtime_s,runtime_source,evaluation_frames,empty_fraction,psnr_masked,ssim_masked,lpips_masked,quality_index,quality_per_minute,failure_reason
matrix_sugar_followup_12,SuGaR follow-up,2fps/720p/opencv_sugar,2,720p,opencv_sugar_coarse,OPENCV,sugar_coarse,sugar_coarse,success,2117,pipeline_run step sum,12,0.0,21.775156393060087,0.747405802210172,0.15349433509012064,38.42999259411773,1.0891825959598789,
matrix_sugar_followup_12,SuGaR follow-up,2fps/720p/simple_radial_sugar,2,720p,simple_radial_sugar_coarse,SIMPLE_RADIAL,sugar_coarse,sugar_coarse,success,2065,pipeline_run step sum,12,0.0,21.6036526305262,0.7518817782402039,0.1545456706856688,33.87340506472163,0.9842151592655196,
matrix_sugar_followup_12,SuGaR follow-up,2fps/low/opencv_sugar,2,low,opencv_sugar_coarse,OPENCV,sugar_coarse,sugar_coarse,success,1309,pipeline_run step sum,12,0.020833333333333332,21.720078199136083,0.7219708909591039,0.12735538029422364,49.94606532601992,2.2893536436678343,
matrix_sugar_followup_12,SuGaR follow-up,2fps/low/simple_radial_sugar,2,low,simple_radial_sugar_coarse,SIMPLE_RADIAL,sugar_coarse,sugar_coarse,success,1142,pipeline_run step sum,12,0.020833333333333332,21.941738620206205,0.731632004181544,0.12839596470197043,62.1729164386331,3.2665280090350137,
matrix_sugar_followup_12,SuGaR follow-up,2fps/qhd/opencv_sugar,2,qhd,opencv_sugar_coarse,OPENCV,sugar_coarse,sugar_coarse,success,1694,pipeline_run step sum,12,0.020833333333333332,22.08118374422233,0.7512898941834768,0.12767535044501224,79.18769858135948,2.8047590996939604,
matrix_sugar_followup_12,SuGaR follow-up,2fps/qhd/simple_radial_sugar,2,qhd,simple_radial_sugar_coarse,SIMPLE_RADIAL,sugar_coarse,sugar_coarse,success,1578,pipeline_run step sum,12,0.020833333333333332,21.803442878999608,0.7499074339866638,0.13049115675191084,65.62578468264698,2.495276984131064,
matrix_sugar_followup_12,SuGaR follow-up,5fps/720p/opencv_sugar,5,720p,opencv_sugar_coarse,OPENCV,sugar_coarse,sugar_coarse,success,2229,pipeline_run step sum,30,0.0,21.129953361328774,0.7796898146470388,0.15278798701862495,35.2252448668112,0.9481896330231818,
matrix_sugar_followup_12,SuGaR follow-up,5fps/720p/simple_radial_sugar,5,720p,simple_radial_sugar_coarse,SIMPLE_RADIAL,sugar_coarse,sugar_coarse,success,2241,pipeline_run step sum,30,0.0,21.155833774373743,0.7763072808583578,0.15229462906718255,34.709737208899604,0.9293102331700027,
matrix_sugar_followup_12,SuGaR follow-up,5fps/low/opencv_sugar,5,low,opencv_sugar_coarse,OPENCV,sugar_coarse,sugar_coarse,success,1270,pipeline_run step sum,30,0.0,21.896778506240096,0.7762713154157003,0.12357727997004986,91.56378785976808,4.325848245343374,
matrix_sugar_followup_12,SuGaR follow-up,5fps/low/simple_radial_sugar,5,low,simple_radial_sugar_coarse,SIMPLE_RADIAL,sugar_coarse,sugar_coarse,success,1276,pipeline_run step sum,30,0.0,21.831374357304686,0.7719941377639771,0.12377006361881891,86.59424933555142,4.071829906060412,
matrix_sugar_followup_12,SuGaR follow-up,5fps/qhd/opencv_sugar,5,qhd,opencv_sugar_coarse,OPENCV,sugar_coarse,sugar_coarse,success,1792,pipeline_run step sum,30,0.008333333333333333,21.16734882699988,0.7771640419960022,0.1456508836398522,42.759144755402566,1.4316677931496395,
matrix_sugar_followup_12,SuGaR follow-up,5fps/qhd/simple_radial_sugar,5,qhd,simple_radial_sugar_coarse,SIMPLE_RADIAL,sugar_coarse,sugar_coarse,success,1785,pipeline_run step sum,30,0.008333333333333333,21.571420849312776,0.7730509440104166,0.15094675831496715,48.84310976239021,1.64178520209715,
